Team,Attack,Defense,Date
Atlante,-0.021793647601514664,-0.04770776636354176,2026/08/23
Atlas,-0.12179365613338071,0.05176542995940844,2026/08/23
Atletico San Luis,-0.03502827855269392,0.1117786095703525,2026/08/23
Club America,0.14029066968374593,-0.32544134968930133,2026/08/23
Cruz Azul,0.20681255819635735,-0.15969868781625707,2026/08/23
FC Juarez,-0.07107723702348566,0.20341030014287678,2026/08/23
Guadalajara,0.1285481638712121,-0.1760283819010572,2026/08/23
Leon,-0.10119840003578003,0.10226438490062839,2026/08/23
Mazatlan,-0.1870054656325556,0.19384637994399975,2026/08/23
Monterrey,0.18965427137680907,0.020115378741438462,2026/08/23
Necaxa,0.018648958574401124,0.12175781974973918,2026/08/23
Pachuca,0.0011499513300123332,-0.10875945738053297,2026/08/23
Puebla,-0.24119876242471905,0.1765422896508162,2026/08/23
Queretaro,-0.20456669148293727,0.021098015251049977,2026/08/23
Santos Laguna,-0.16794279991195965,0.28476051355318605,2026/08/23
Tigres UANL,0.12758397069127042,-0.1883205358495109,2026/08/23
Tijuana,0.055324582237754744,0.03538192195648334,2026/08/23
Toluca,0.28000430685317185,-0.23873449113306186,2026/08/23
UNAM Pumas,0.0753440030499259,-0.06719313959688232,2026/08/23
